#國字	Unicode
連	9023
速	901F
逝	901D
逐	9010
逕	9015
逞	901E
造	9020
透	900F
逢	9022
逖	9016
逛	901B
途	9014
逮	902E
逵	9035
週	9031
逸	9038
進	9032
運	904B
遊	904A
道	9053
遂	9042
達	9054
逼	903C
違	9055
遐	9050
遇	9047
遏	904F
過	904E
遍	904D
遑	9051
逾	903E
遁	9041
遠	9060
遘	9058
遜	905C
遣	9063
遙	9059
遞	905E
適	9069
遮	906E
遨	9068
遭	906D
遷	9077
遵	9075
遴	9074
選	9078
遲	9072
遼	907C
遺	907A
避	907F
遽	907D
還	9084
邁	9081
邂	9082
邀	9080
邇	9087
邊	908A
邐	9090
邏	908F
邑	9091
邕	9095
邢	90A2
邪	90AA
邦	90A6
那	90A3
邵	90B5
邸	90B8
邱	90B1
郊	90CA
郎	90CE
郁	90C1
郡	90E1
部	90E8
郭	90ED
都	90FD
鄂	9102
郵	90F5
鄉	9109
鄒	9112
鄙	9119
鄰	9130
鄭	912D
鄧	9127
鄱	9131
鄹	9139
酉	9149
酋	914B
酊	914A
酒	9152
配	914D
酌	914C
酗	9157
酣	9163
酥	9165
酬	916C
酪	916A
酩	9169
酵	9175
酸	9178
酷	9177
醇	9187
醉	9189
醋	918B
醃	9183
醒	9192
醣	91A3
醞	919E
醜	919C
醫	91AB
醬	91AC
醺	91BA
釀	91C0
釁	91C1
采	91C7
釉	91C9
釋	91CB
里	91CC
重	91CD
野	91CE
量	91CF
釐	91D0
金	91D1
釘	91D8
針	91DD
釗	91D7
釜	91DC
釵	91F5
釦	91E6
鈔	9214
釣	91E3
釧	91E7
鈕	9215
鈣	9223
鈉	9209
鈞	921E
鈍	920D
鈐	9210
鈷	9237
鉗	9257
鈸	9238
鈽	923D
鉀	9240
鈾	923E
鉛	925B
鉋	924B
鉤	9264
鉑	9251
鈴	9234
鉸	9278
銀	9280
銅	9285
銘	9298
銖	9296
鉻	927B
銓	9293
銜	929C
鋅	92C5
銻	92BB
銷	92B7
鋪	92EA
銬	92AC
鋤	92E4
鋁	92C1
銳	92B3
銼	92BC
鋒	92D2
錠	9320
錶	9336
鋸	92F8
錳	9333
錯	932F
錢	9322
鋼	92FC
錫	932B
錄	9304
錚	931A
錐	9310
錦	9326
鍍	934D
鎂	9382
錨	9328
鍵	9375
鍊	934A
鍥	9365
鍋	934B
錘	9318
鍾	937E
鍬	936C
鍛	935B
鍰	9370
鎔	9394
鎊	938A
鎖	9396
鎢	93A2
鎳	93B3
鎮	93AE
鏡	93E1
鏑	93D1
鏟	93DF
鏃	93C3
鏈	93C8
鏜	93DC
鏝	93DD
鏖	93D6
鏢	93E2
鏍	93CD
鏘	93D8
鏤	93E4
鏗	93D7
鐘	9418
鐃	9403
鏽	93FD
鐮	942E
鐳	9433
鐵	9435
鐺	943A
鐸	9438
鐲	9432
鑄	9444
鑑	9451
鑒	9452
鑣	9463
鑠	9460
鑲	9472
鑰	9470
鑽	947D
鑾	947E
鑼	947C
鑿	947F
長	9577
門	9580
閂	9582
閃	9583
閉	9589
閔	9594
閏	958F
開	958B
閑	9591
間	9593
閒	9592
閘	9598
閡	95A1
閨	95A8
閩	95A9
閣	95A3
閥	95A5
閤	95A4
閭	95AD
閱	95B1
閻	95BB
闊	95CA
闋	95CB
闌	95CC
闈	95C8
闆	95C6
闔	95D4
闖	95D6
闐	95D0
關	95DC
闡	95E1
闢	95E2
阜	961C
阡	9621
防	9632
阮	962E
阱	9631
阪	962A
陀	9640
阿	963F
阻	963B
附	9644
限	9650
陋	964B
陌	964C
降	964D
院	9662
陣	9663
陡	9661
陛	965B
陝	965D
除	9664
陪	966A
陵	9675
陳	9673
陸	9678
陰	9670
陴	9674
陶	9676
陷	9677
隊	968A
階	968E
隋	968B
陽	967D
隅	9685
隆	9686
隍	968D
陲	9672
隘	9698
隔	9694
隕	9695
隙	9699
障	969C
際	969B
隧	96A7
隨	96A8
險	96AA
隱	96B1
隴	96B4
隸	96B8
隻	96BB
雀	96C0
雁	96C1
雅	96C5
雄	96C4
集	96C6
雇	96C7
雍	96CD
雋	96CB
雉	96C9
雌	96CC
雕	96D5
雖	96D6
離	96E2
雜	96DC
雙	96D9
雛	96DB
雞	96DE
難	96E3
雨	96E8
雪	96EA
雯	96EF
雲	96F2
雷	96F7
電	96FB
雹	96F9
零	96F6
需	9700
霄	9704
霆	9706
震	9707
霉	9709
霎	970E
霑	9711
霖	9716
霍	970D
霓	9713
霏	970F
霜	971C
霞	971E
霪	972A
霧	9727
霸	9738
霹	9739
露	9732
霽	973D
霾	973E
靂	9742
靈	9748
靄	9744
青	9752
靖	9756
靛	975B
靜	975C
非	975E
靠	9760
靡	9761
面	9762
靦	9766
靨	9768
革	9769
靴	9774
靶	9776
靼	977C
鞅	9785
鞍	978D
鞋	978B
鞏	978F
鞘	9798
鞠	97A0
鞣	97A3
鞦	97A6
鞭	97AD
韃	97C3
韁	97C1
韆	97C6
韋	97CB
韌	97CC
韓	97D3
韜	97DC
韭	97ED
音	97F3
章	7AE0
竟	7ADF
韶	97F6
韻	97FB
響	97FF
頁	9801
頂	9802
頃	9803
項	9805
順	9806
須	9808
預	9810
頑	9811
頓	9813
頊	980A
頒	9812
頌	980C
頗	9817
領	9818
頡	9821
頰	9830
頸	9838
頻	983B
頷	9837
頭	982D
頹	9839
頤	9824
顆	9846
額	984D
顏	984F
題	984C
顎	984E
顓	9853
類	985E
願	9858
顛	985B
顧	9867
顫	986B
顯	986F
顰	9870
顱	9871
風	98A8
颯	98AF
颱	98B1
颳	98B3
颶	98B6
颺	98BA
颼	98BC
飄	98C4
飛	98DB
食	98DF
飢	98E2
飧	98E7
飪	98EA
飯	98EF
飩	98E9
飲	98F2
飭	98ED
飼	98FC
飴	98F4
飽	98FD
飾	98FE
餃	9903
餅	9905
餌	990C
餉	9909
養	990A
餓	9913
餒	9912
餘	9918
餐	9910
館	9928
餞	991E
餛	991B
餡	9921
餵	9935
餾	993E
餿	993F
餽	993D
饅	9945
饒	9952
饑	9951
饜	995C
饞	995E
首	9996
香	9999
馥	99A5
馨	99A8
馬	99AC
馮	99AE
馭	99AD
馳	99B3
馱	99B1
馴	99B4
駁	99C1
駝	99DD
駐	99D0
駟	99DF
駛	99DB
駑	99D1
駕	99D5
駒	99D2
駙	99D9
駭	99ED
駢	99E2
駱	99F1
騁	9A01
駿	99FF
騎	9A0E
騖	9A16
騙	9A19
騫	9A2B
騰	9A30
騷	9A37
驅	9A45
驃	9A43
驀	9A40
騾	9A3E
驕	9A55
驚	9A5A
驛	9A5B
驗	9A57
驟	9A5F
驢	9A62
驥	9A65
驪	9A6A
骨	9AA8
骯	9AAF
骰	9AB0
骷	9AB7
骸	9AB8
骼	9ABC
髏	9ACF
髒	9AD2
髓	9AD3
體	9AD4
高	9AD8
髦	9AE6
髮	9AEE
髯	9AEF
髻	9AFB
髭	9AED
鬃	9B03
鬆	9B06
鬍	9B0D
鬚	9B1A
鬢	9B22
鬥	9B25
鬧	9B27
鬨	9B28
鬱	9B31
鬼	9B3C
魁	9B41
魂	9B42
魅	9B45
魄	9B44
魏	9B4F
魔	9B54
魘	9B58
鬲	9B32
魚	9B5A
魷	9B77
魯	9B6F
鮑	9B91
鮮	9BAE
鮫	9BAB
鮪	9BAA
鯊	9BCA
鯉	9BC9
鯽	9BFD
鯨	9BE8
鯧	9BE7
鰓	9C13
鰍	9C0D
鰭	9C2D
鰥	9C25
鱉	9C49
鰱	9C31
鰾	9C3E
鰻	9C3B
鱔	9C54
鱗	9C57
鱖	9C56
鱷	9C77
鱸	9C78
鳥	9CE5
鳩	9CE9
鳴	9CF4
鳶	9CF6
鳳	9CF3
鴆	9D06
鴉	9D09
鴕	9D15
鴣	9D23
鴦	9D26
鴨	9D28
鴒	9D12
鴛	9D1B
鴻	9D3B
鴿	9D3F
鵑	9D51
鵝	9D5D
鵠	9D60
鶉	9D89
鵡	9D61
鵲	9D72
鵪	9D6A
鵬	9D6C
鶯	9DAF
鶴	9DB4
鷂	9DC2
鷓	9DD3
鷗	9DD7
鷥	9DE5
鷹	9DF9
鷺	9DFA
鸚	9E1A
鸞	9E1E
鹹	9E79
鹼	9E7C
鹽	9E7D
鹿	9E7F
麂	9E82
麋	9E8B
麒	9E92
麗	9E97
麓	9E93
麝	9E9D
麟	9E9F
麥	9EA5
麩	9EA9
麴	9EB4
麵	9EB5
麻	9EBB
麼	9EBC
麾	9EBE
黃	9EC3
黍	9ECD
黎	9ECE
黏	9ECF
黑	9ED1
墨	58A8
默	9ED8
黔	9ED4
點	9EDE
黜	9EDC
黝	9EDD
黛	9EDB
黠	9EE0
黨	9EE8
黯	9EEF
黴	9EF4
黷	9EF7
鼇	9F07
鼎	9F0E
鼓	9F13
鼕	9F15
鼙	9F19
鼠	9F20
鼬	9F2C
鼴	9F34
鼻	9F3B
鼾	9F3E
齊	9F4A
齋	9F4B
齒	9F52
齟	9F5F
齣	9F63
齡	9F61
齜	9F5C
齦	9F66
齬	9F6C
齪	9F6A
齷	9F77
齲	9F72
龍	9F8D
龔	9F94
龜	9F9C
