#Char	Unicode	Big5
師	5E2B	AE76
席	5E2D	AE75
帳	5E33	B162
帶	5E36	B161
帷	5E37	B163
常	5E38	B160
帽	5E3D	B455
幀	5E40	B456
幃	5E43	B457
幅	5E45	B454
幌	5E4C	B745
幔	5E54	B9F7
幕	5E55	B9F5
幗	5E57	B9F6
幛	5E5B	B9F3
幟	5E5F	BC6D
幡	5E61	BC6E
幢	5E62	BC6C
幣	5E63	B9F4
幫	5E6B	C0B0
干	5E72	A47A
平	5E73	A5AD
年	5E74	A67E
并	5E76	A67D
幸	5E78	A9AF
幹	5E79	B746
幻	5E7B	A4DB
幼	5E7C	A5AE
幽	5E7D	ABD5
幾	5E7E	B458
庇	5E87	A7C8
床	5E8A	A7C9
序	5E8F	A7C7
底	5E95	A9B3
庖	5E96	A9B4
店	5E97	A9B1
庚	5E9A	A9B0
府	5E9C	A9B2
庠	5EA0	ABD6
度	5EA6	ABD7
座	5EA7	AE79
庫	5EAB	AE77
庭	5EAD	AE78
庵	5EB5	B167
庶	5EB6	B166
康	5EB7	B164
庸	5EB8	B165
庾	5EBE	B168
廁	5EC1	B45A
廂	5EC2	B45B
廄	5EC4	B45C
廈	5EC8	B748
廉	5EC9	B747
廊	5ECA	B459
廓	5ED3	B9F8
廖	5ED6	B9F9
廚	5EDA	BC70
廝	5EDD	BC72
廟	5EDF	BC71
廠	5EE0	BC74
廢	5EE2	BC6F
廣	5EE3	BC73
廬	5EEC	C366
廳	5EF3	C655
延	5EF6	A9B5
廷	5EF7	A7CA
建	5EFA	ABD8
廾	5EFE	A47B
廿	5EFF	A4DC
弁	5F01	A5AF
弄	5F04	A7CB
弈	5F08	ABD9
弊	5F0A	B9FA
弋	5F0B	A47C
式	5F0F	A6A1
弒	5F12	B749
弓	5F13	A47D
弔	5F14	A4DD
引	5F15	A4DE
弗	5F17	A5B1
弘	5F18	A5B0
弛	5F1B	A6A2
弟	5F1F	A7CC
弦	5F26	A9B6
弧	5F27	A9B7
弩	5F29	A9B8
弭	5F2D	ABDA
弱	5F31	AE7A
張	5F35	B169
強	5F37	B16A
弼	5F3C	B45D
彆	5F46	B9FB
彈	5F48	BC75
彊	5F4A	BECA
彌	5F4C	C0B1
彎	5F4E	C573
彗	5F57	B16B
彙	5F59	B74A
彝	5F5D	C255
形	5F62	A7CE
彤	5F64	A7CD
彥	5F65	ABDB
彩	5F69	B16D
彪	5F6A	B343
彫	5F6B	B16E
彬	5F6C	B16C
彭	5F6D	B45E
彰	5F70	B9FC
影	5F71	BC76
彷	5F77	A7CF
役	5F79	A7D0
彼	5F7C	A9BC
彿	5F7F	A9BB
往	5F80	A9B9
征	5F81	A9BA
待	5F85	ABDD
徇	5F87	ABE0
很	5F88	ABDC
徉	5F89	ABE2
徊	5F8A	ABDE
律	5F8B	ABDF
後	5F8C	ABE1
徐	5F90	AE7D
徑	5F91	AE7C
徒	5F92	AE7B
得	5F97	B16F
徘	5F98	B172
徙	5F99	B170
徜	5F9C	B175
從	5F9E	B171
徠	5FA0	B174
御	5FA1	B173
徨	5FA8	B461
復	5FA9	B45F
循	5FAA	B460
徬	5FAC	B74B
微	5FAE	B74C
徵	5FB5	BC78
德	5FB7	BC77
徹	5FB9	B9FD
徽	5FBD	C0B2
心	5FC3	A4DF
必	5FC5	A5B2
忌	5FCC	A7D2
忍	5FCD	A7D4
忖	5FD6	A6A4
志	5FD7	A7D3
忘	5FD8	A7D1
忙	5FD9	A6A3
忝	5FDD	A9BD
忠	5FE0	A9BE
忪	5FEA	A7D8
快	5FEB	A7D6
忱	5FF1	A7D5
念	5FF5	A9C0
忸	5FF8	A7D7
忽	5FFD	A9BF
忿	5FFF	A9C1
怎	600E	ABE7
怏	600F	A9C2
怒	6012	ABE3
怔	6014	A9C3
怕	6015	A9C8
怖	6016	A9C6
怛	601B	A9CD
思	601D	ABE4
怠	6020	ABE5
怡	6021	A9C9
急	6025	ABE6
性	6027	A9CA
怨	6028	ABE8
怩	6029	A9CB
怪	602A	A9C7
怫	602B	A9CC
怯	602F	A9C4
怵	6035	A9C5
恃	6043	ABEE
恆	6046	ABED
恍	604D	ABE9
恐	6050	AEA3
恕	6055	AEA4
恙	6059	AE7E
恢	6062	ABEC
恣	6063	AEA1
恤	6064	ABF2
恥	6065	AEA2
恨	6068	ABEB
恩	6069	AEA6
恪	606A	ABF1
恫	606B	ABF0
恬	606C	ABEF
恭	606D	AEA5
息	606F	AEA7
恰	6070	ABEA
恿	607F	B176
悄	6084	AEA8
悅	6085	AEAE
悉	6089	B178
悌	608C	AEAD
悍	608D	AEAB
悔	6094	AEAC
悖	6096	AEAF
悚	609A	AEAA
悟	609F	AEA9
悠	60A0	B179
患	60A3	B177
您	60A8	B17A
悲	60B2	B464
悴	60B4	B17C
悵	60B5	B1A3
悶	60B6	B465
悸	60B8	B1AA
悻	60BB	B1A2
悼	60BC	B1A5
悽	60BD	B17E
情	60C5	B1A1
惆	60C6	B1A8
惇	60C7	B1AC
惋	60CB	B17B
惑	60D1	B462
惕	60D5	B1A7
惘	60D8	B1A6
惚	60DA	B1AB
惜	60DC	B1A4
惟	60DF	B1A9
惠	60E0	B466
惡	60E1	B463
惦	60E6	B17D
惰	60F0	B46B
惱	60F1	B46F
想	60F3	B751
惴	60F4	B46D
惶	60F6	B471
惹	60F9	B753
惺	60FA	B469
惻	60FB	B46C
愀	6100	B473
愁	6101	B754
愆	6106	B75E
愈	6108	B755
愉	6109	B472
愍	610D	B75D
愎	610E	B470
意	610F	B74E
愒	6112	B474
愕	6115	B46A
愚	611A	B74D
愛	611B	B752
愜	611C	B467
感	611F	B750
愣	6123	B468
愧	6127	B75C
愴	6134	B75B
愷	6137	B75F
愾	613E	B75A
愿	613F	BA40
慄	6144	B758
慇	6147	B9FE
慈	6148	B74F
態	614B	BA41
慌	614C	B757
慍	614D	B759
慎	614E	B756
慕	6155	BC7D
慘	6158	BA47
慚	615A	BA46
慝	615D	BC7C
慟	615F	BA45
慢	6162	BA43
慣	6163	BA44
慧	6167	BC7A
慨	6168	B46E
慫	616B	BCA3
慮	616E	BC7B
慰	6170	BCA2
慵	6175	BA48
慶	6176	BC79
慷	6177	BA42
慼	617C	BCA1
慾	617E	BCA4
憂	6182	BC7E
憊	618A	BECE
憎	618E	BCA8
憐	6190	BCA6
憑	6191	BECC
憔	6194	BCAC
憚	619A	BCAA
憤	61A4	BCAB
憧	61A7	BCA5
憩	61A9	BECD
憫	61AB	BCA7
憬	61AC	BCA9
憮	61AE	BCAD
憲	61B2	BECB
憶	61B6	BED0
憾	61BE	BED1
懂	61C2	C0B4
懇	61C7	C0B5
懈	61C8	BED3
應	61C9	C0B3
懊	61CA	BED2
懋	61CB	C0B7
懍	61CD	BECF
懣	61E3	C256
懦	61E6	C0B6
懲	61F2	C367
懵	61F5	C36A
懶	61F6	C369
懷	61F7	C368
懸	61F8	C461
懺	61FA	C462
懼	61FC	C4DF
懾	61FE	C4E0
懿	61FF	C574
戀	6200	C5CA
戈	6208	A4E0
戊	620A	A5B3
戌	620C	A6A6
戍	620D	A6A7
戎	620E	A6A5
成	6210	A6A8
我	6211	A7DA
戒	6212	A7D9
戕	6215	A9CF
或	6216	A9CE
戚	621A	B1AD
戛	621B	B1AE
戟	621F	B475
戡	6221	B760
戢	6222	B761
截	622A	BA49
戮	622E	BCAE
戰	6230	BED4
戲	6232	C0B8
戳	6233	C257
戴	6234	C0B9
戶	6236	A4E1
戾	623E	A9D1
房	623F	A9D0
所	6240	A9D2
扁	6241	ABF3
扇	6247	AEB0
扈	6248	B1AF
扉	6249	B476
手	624B	A4E2
才	624D	A47E
扎	624E	A4E3
扑	6251	A5B7
扒	6252	A5B6
打	6253	A5B4
扔	6254	A5B5
托	6258	A6AB
扛	625B	A6AA
扣	6263	A6A9
扭	626D	A7E1
扮	626E	A7EA
扯	626F	A7E8
扳	6273	A7E6
扶	6276	A7DF
批	6279	A7E5
扼	627C	A7E3
找	627E	A7E4
承	627F	A9D3
技	6280	A7DE
抄	6284	A7DB
抆	6286	A7EE
抉	6289	A7E0
把	628A	A7E2
抑	6291	A7ED
抒	6292	A7E7
抓	6293	A7EC
投	6295	A7EB
抖	6296	A7DD
抗	6297	A7DC
折	6298	A7E9
抨	62A8	A9E1
披	62AB	A9DC
抬	62AC	A9EF
抱	62B1	A9EA
抵	62B5	A9E8
抹	62B9	A9D9
押	62BC	A9E3
抽	62BD	A9E2
抿	62BF	A9D7
拂	62C2	A9D8
拄	62C4	A9D6
拆	62C6	A9EE
拇	62C7	A9E6
拈	62C8	A9E0
拉	62C9	A9D4
拋	62CB	A9DF
拌	62CC	A9D5
拍	62CD	A9E7
拎	62CE	A9F0
拐	62D0	A9E4
拒	62D2	A9DA
拓	62D3	A9DD
拔	62D4	A9DE
拖	62D6	A9EC
拗	62D7	A9ED
拘	62D8	A9EB
拙	62D9	A9E5
拚	62DA	A9E9
招	62DB	A9DB
拜	62DC	ABF4
括	62EC	AC41
拭	62ED	ABF8
拮	62EE	ABFA
拯	62EF	AC40
拱	62F1	ABFD
拳	62F3	AEB1
拴	62F4	AC43
拷	62F7	ABFE
拼	62FC	ABF7
拽	62FD	ABFB
拾	62FE	AC42
拿	62FF	AEB3
持	6301	ABF9
挂	6302	AC45
指	6307	ABFC
挈	6308	AEB2
按	6309	ABF6
挑	6311	AC44
挖	6316	ABF5
挨	6328	AEC1
挪	632A	AEBF
挫	632B	AEC0
振	632F	AEB6
挺	633A	AEBC
挽	633D	AEBE
挾	633E	AEB5
捂	6342	AEB8
捆	6346	AEB9
捉	6349	AEBB
捌	634C	AEC3
捍	634D	AEC2
捎	634E	AEB4
捏	634F	AEBA
捐	6350	AEBD
捕	6355	AEB7
捧	6367	B1B7
捨	6368	B1CB
捩	6369	B1CA
捫	636B	B1BF
捱	6371	B1BA
捲	6372	B1B2
捶	6376	B4A8
捷	6377	B1B6
捺	637A	B1CC
捻	637B	B1C9
掀	6380	B1C8
掃	6383	B1BD
掄	6384	B1C1
授	6388	B1C2
掉	6389	B1BC
掌	638C	B478
掏	638F	B1C7
排	6392	B1C6
掖	6396	B1B3
掘	6398	B1B8
掙	6399	B1C3
掛	639B	B1BE
掠	63A0	B1B0
採	63A1	B1C4
探	63A2	B1B4
掣	63A3	B477
接	63A5	B1B5
控	63A7	B1B1
推	63A8	B1C0
掩	63A9	B1BB
措	63AA	B1B9
掬	63AC	B1C5
揀	63C0	B47A
揆	63C6	B47D
揉	63C9	B47C
揍	63CD	B47E
描	63CF	B479
提	63D0	B4A3
插	63D2	B4A1
揖	63D6	B4A5
揚	63DA	B4AD
換	63DB	B4AB
握	63E1	B4A4
揣	63E3	B4A2
揩	63E9	B47B
揪	63EA	B4AA
揭	63ED	B4A6
揮	63EE	B4A7
援	63F4	B4A9
揹	63F9	B4AE
搆	6406	B770
損	640D	B76C
搏	640F	B769
搓	6413	B762
搔	6414	B76B
搖	6416	B76E
搗	6417	B76F
搜	641C	B76A
搞	641E	B764
搪	642A	B765
搬	642C	B768
搭	642D	B766
搴	6434	BA53
搶	6436	B76D
搽	643D	B767
搾	643E	B763
摑	6451	BA51
摒	6452	B4AC
摔	6454	BA4C
摘	6458	BA4B
摟	645F	BA4F
摧	6467	BA52
摩	6469	BCAF
摭	646D	BA54
摯	646F	BCB0
摸	6478	BA4E
摹	6479	BCB1
摺	647A	BA50
摻	647B	BA55
撇	6487	BA4A
撈	6488	BCB4
撐	6490	BCB5
撒	6492	BCBB
撓	6493	BCB8
撕	6495	BCB9
撙	6499	BCC1
撚	649A	BCBF
撞	649E	BCB2
撢	64A2	BCC2
撤	64A4	BA4D
撥	64A5	BCB7
撩	64A9	BCBA
撫	64AB	BCBE
撬	64AC	BCC0
播	64AD	BCBD
撮	64AE	BCBC
撰	64B0	BCB6
撲	64B2	BCB3
撳	64B3	BCC3
撻	64BB	BED8
撼	64BC	BED9
撾	64BE	BEE2
撿	64BF	BEDF
擁	64C1	BED6
擂	64C2	BEDD
擄	64C4	BEDB
擅	64C5	BED5
擇	64C7	BEDC
擊	64CA	C0BB
擋	64CB	BED7
操	64CD	BEDE
擎	64CE	C0BA
擒	64D2	BEE0
擔	64D4	BEE1
擘	64D8	C0BC
據	64DA	BEDA
擠	64E0	C0BD
擢	64E2	C0C2
擦	64E6	C0BF
擬	64EC	C0C0
擭	64ED	C0C3
擰	64F0	C0BE
擱	64F1	C0C1
擲	64F2	C259
擴	64F4	C258
擷	64F7	C25E
擺	64FA	C25C
擻	64FB	C25D
擾	64FE	C25A
攀	6500	C36B
攆	6506	C25B
攏	650F	C36C
攔	6514	C464
攘	6518	C463
攙	6519	C465
攜	651C	C4E2
攝	651D	C4E1
攣	6523	C5CB
攤	6524	C575
攪	652A	C5CD
攫	652B	C5CC
攬	652C	C5F3
支	652F	A4E4
收	6536	A6AC
攸	6538	A7F1
改	6539	A7EF
攻	653B	A7F0
放	653E	A9F1
政	653F	AC46
故	6545	AC47
效	6548	AEC4
敉	6549	AEC5
敏	654F	B1D3
救	6551	B1CF
敔	6554	B1D6
敕	6555	B1D5
敖	6556	B1CE
敗	6557	B1D1
敘	6558	B1D4
教	6559	B1D0
敝	655D	B1CD
敞	655E	B4AF
敢	6562	B4B1
散	6563	B4B2
敦	6566	B4B0
敬	656C	B771
敲	6572	BA56
整	6574	BEE3
敵	6575	BCC4
敷	6577	BCC5
數	6578	BCC6
斂	6582	C0C4
斃	6583	C0C5
文	6587	A4E5
斐	6590	B4B4
斑	6591	B4B3
斕	6595	C4E3
斗	6597	A4E6
料	6599	AEC6
斛	659B	B1D8
斜	659C	B1D7
斟	659F	B772
斡	65A1	BA57
斤	65A4	A4E7
斥	65A5	A5B8
斧	65A7	A9F2
斫	65AB	AC48
斬	65AC	B1D9
斯	65AF	B4B5
新	65B0	B773
斷	65B7	C25F
方	65B9	A4E8
於	65BC	A9F3
施	65BD	AC49
旁	65C1	AEC7
旅	65C5	AEC8
旋	65CB	B1DB
旌	65CC	B1DC
旎	65CE	B1DD
族	65CF	B1DA
旖	65D6	BA59
旗	65D7	BA58
既	65E2	AC4A
日	65E5	A4E9
旦	65E6	A5B9
旨	65E8	A6AE
早	65E9	A6AD
旬	65EC	A6AF
旭	65ED	A6B0
旱	65F1	A7F2
旺	65FA	A9F4
昀	6600	A9FB
昂	6602	A9F9
昆	6606	A9F8
昇	6607	AA40
昊	660A	A9FE
昌	660C	A9F7
明	660E	A9FA
昏	660F	A9FC
易	6613	A9F6
昔	6614	A9F5
昕	6615	A9FD
星	661F	AC50
映	6620	AC4D
昤	6624	AC53
春	6625	AC4B
昧	6627	AC4E
昨	6628	AC51
昭	662D	AC4C
是	662F	AC4F
昱	6631	AC52
晁	6641	AED0
時	6642	AEC9
晃	6643	AECC
晅	6645	AECF
晉	6649	AECA
晌	664C	AECE
晏	664F	AECB
晒	6652	AECD
晚	665A	B1DF
晝	665D	B1DE
晞	665E	B1E3
晤	6664	B1E0
晦	6666	B1E2
晨	6668	B1E1
普	666E	B4B6
景	666F	B4BA
晰	6670	B4B7
晴	6674	B4B8
晶	6676	B4B9
晷	6677	B4BE
智	667A	B4BC
晾	667E	B4BD
暄	6684	B779
暇	6687	B776
暈	6688	B777
暉	6689	B775
暍	668D	B77B
暑	6691	B4BB
暖	6696	B778
暗	6697	B774
暘	6698	B77A
暝	669D	BA5C
暢	66A2	BA5A
暨	66A8	BA5B
暫	66AB	BCC8
暮	66AE	BCC7
暱	66B1	BCCA
暴	66B4	BCC9
暸	66B8	BEE9
暹	66B9	BEE6
曄	66C4	BEE7
曆	66C6	BEE4
曇	66C7	BEE8
曉	66C9	BEE5
曖	66D6	C0C7
曙	66D9	C0C6
曜	66DC	C260
曝	66DD	C36E
曠	66E0	C36D
曦	66E6	C466
曩	66E9	C4E4
曬	66EC	C5CE
曰	66F0	A4EA
曲	66F2	A6B1
曳	66F3	A6B2
更	66F4	A7F3
曷	66F7	AC54
書	66F8	AED1
曹	66F9	B1E4
曼	66FC	B0D2
曾	66FE	B4BF
替	66FF	B4C0
最	6700	B3CC
會	6703	B77C
月	6708	A4EB
有	6709	A6B3
朋	670B	AA42
服	670D	AA41
朔	6714	AED2
朕	6715	AED3
朗	6717	AED4
望	671B	B1E6
朝	671D	B4C2
期	671F	B4C1
朦	6726	C261
朧	6727	C467
木	6728	A4EC
未	672A	A5BC
末	672B	A5BD
本	672C	A5BB
札	672D	A5BE
朮	672E	A5BA
朱	6731	A6B6
朴	6734	A6B5
朵	6735	A6B7
朽	673D	A6B4
杆	6746	A7FD
杉	6749	A7FC
李	674E	A7F5
杏	674F	A7F6
材	6750	A7F7
村	6751	A7F8
杓	6753	A840
杖	6756	A7FA
杗	6757	A841
杜	675C	A7F9
杞	675E	A7FB
束	675F	A7F4
杠	6760	A7FE
杪	676A	AA57
杭	676D	AA43
杯	676F	AA4D
杰	6770	AA4E
東	6771	AA46
杲	6772	AA58
杳	6773	AA48
杵	6775	AA53
杷	6777	AA49
杼	677C	AA56
松	677E	AA51
板	677F	AA4F
枇	6787	AA4A
枉	6789	AA50
枋	678B	AA44
析	6790	AA52
枓	6793	AA55
枕	6795	AA45
林	6797	AA4C
枚	679A	AA54
果	679C	AA47
枝	679D	AA4B
枯	67AF	AC5C
枰	67B0	AC69
枴	67B4	AC62
架	67B6	AC5B
枸	67B8	AC65
柄	67C4	AC60
柏	67CF	AC66
某	67D0	AC59
柑	67D1	AC61
柒	67D2	AC6D
染	67D3	AC56
柔	67D4	AC58
柙	67D9	AC6A
柚	67DA	AC63
柝	67DD	AC6C
柞	67DE	AC67
柢	67E2	AC6B
查	67E5	AC64
柩	67E9	AC5E
柬	67EC	AC5A
柯	67EF	AC5F
柱	67F1	AC57
柳	67F3	AC68
柴	67F4	AEE3
柵	67F5	AC5D
柿	67FF	AC55
栓	6813	AEEA
栗	6817	AEDF
栘	6818	AEEB
校	6821	AED5
栩	6829	AEDD
株	682A	AEE8
核	6838	AED6
根	6839	AEDA
格	683C	AEE6
栽	683D	AEE2
桀	6840	AEE5
桁	6841	AEEC
桂	6842	AEDB
桃	6843	AEE7
桅	6845	AEE9
框	6846	AED8
案	6848	AED7
桌	684C	AEE0
桐	6850	AEE4
桑	6851	AEE1
桓	6853	AED9
桔	6854	AEDC
桶	6876	B1ED
桿	687F	B1EC
梁	6881	B1E7
梂	6882	B1FC
梃	6883	B1F2
梅	6885	B1F6
梆	6886	B1F5
梓	6893	B1EA
梔	6894	B1F7
梗	6897	B1F0
條	689D	B1F8
梟	689F	B1FA
梡	68A1	B1FB
梢	68A2	B1E9
梧	68A7	B1EF
梨	68A8	B1F9
梭	68AD	B1F4
梯	68AF	B1E8
械	68B0	B1F1
梱	68B1	B1EE
梳	68B3	AEDE
梵	68B5	B1EB
棄	68C4	B1F3
棉	68C9	B4D6
棋	68CB	B4D1
棍	68CD	B4D2
棒	68D2	B4CE
棕	68D5	B4C4
棗	68D7	B4C7
棘	68D8	B4C6
棚	68DA	B4D7
棟	68DF	B4C9
棠	68E0	B4C5
棣	68E3	B4D0
棧	68E7	B4CC
森	68EE	B4CB
棲	68F2	B4CF
棵	68F5	B4CA
棹	68F9	B4CD
棺	68FA	B4C3
棻	68FB	B4D9
椅	6905	B4C8
植	690D	B4D3
椎	690E	B4D5
椒	6912	B4D4
椰	6930	B7A6
楊	694A	B7A8
楓	6953	B7AC
楔	6954	B7A4
楚	695A	B7A1
楛	695B	B7B1
楝	695D	B7AF
楞	695E	B7AB
楠	6960	B7A3
楣	6963	B7B0
楨	6968	B7A9
楫	696B	B7AA
業	696D	B77E
楮	696E	B4D8
極	6975	B7A5
楷	6977	B7A2
楹	6979	B7AD
概	6982	B7A7
榆	6986	B7AE
榔	6994	B77D
榕	6995	BA5F
榛	699B	BA64
榜	699C	BA5D
榣	69A3	BA6F
榦	69A6	BA6D
榨	69A8	BA5E
榫	69AB	BA67
榭	69AD	BA6B
榮	69AE	BA61
榴	69B4	BA68
榷	69B7	BA65
榻	69BB	BA66
槁	69C1	BA60
槃	69C3	BA6E
構	69CB	BA63
槌	69CC	BA6C
槍	69CD	BA6A
槐	69D0	BA69
槓	69D3	BA62
槨	69E8	BCCD
槭	69ED	BCD8
槳	69F3	BCD5
槽	69FD	BCD1
樁	6A01	BCCE
樂	6A02	BCD6
樅	6A05	BCD7
樊	6A0A	BCD4
樑	6A11	BCD9
樓	6A13	BCD3
標	6A19	BCD0
樞	6A1E	BCCF
樟	6A1F	BCCC
模	6A21	BCD2
樣	6A23	BCCB
樵	6A35	BEF6
樸	6A38	BEEB
樹	6A39	BEF0
樺	6A3A	BEEC
樽	6A3D	BEEA
橄	6A44	BEF1
橇	6A47	BEF5
橈	6A48	BEF8
橋	6A4B	BEF4
橘	6A58	BEEF
橙	6A59	BEED
機	6A5F	BEF7
橡	6A61	BEF3
橢	6A62	BEF2
橫	6A6B	BEEE
橾	6A7E	C0CF
檀	6A80	C0C8
檄	6A84	C0CA
檐	6A90	C0D1
檔	6A94	C0C9
檗	6A97	C0D0
檜	6A9C	C0CC
檠	6AA0	C0D2
檢	6AA2	C0CB
檣	6AA3	C0CE
檬	6AAC	C263
檮	6AAE	C268
檯	6AAF	C269
檳	6AB3	C262
檸	6AB8	C266
檻	6ABB	C265
櫂	6AC2	C267
櫃	6AC3	C264
櫓	6AD3	C372
櫚	6ADA	C371
櫛	6ADB	C0CD
櫝	6ADD	C370
櫥	6AE5	C36F
櫬	6AEC	C468
櫺	6AFA	C4E7
櫻	6AFB	C4E5
欄	6B04	C4E6
權	6B0A	C576
欐	6B10	C5CF
欖	6B16	C656
欠	6B20	A4ED
次	6B21	A6B8
欣	6B23	AA59
欲	6B32	B1FD
欺	6B3A	B4DB
欽	6B3D	B4DC
款	6B3E	B4DA
歇	6B47	B7B2
歉	6B49	BA70
歌	6B4C	BA71
歎	6B4E	BCDB
歐	6B50	BCDA
歙	6B59	BEF9
歜	6B5C	C0D3
歟	6B5F	C26A
歡	6B61	C577
止	6B62	A4EE
正	6B63	A5BF
此	6B64	A6B9
步	6B65	A842
武	6B66	AA5A
歧	6B67	AA5B
歪	6B6A	AC6E
歲	6B72	B7B3
歷	6B77	BEFA
歸	6B78	C26B
歹	6B79	A4EF
死	6B7B	A6BA
歿	6B7F	AA5C
殃	6B83	AC6F
殆	6B86	AC70
殉	6B89	AEEE
殊	6B8A	AEED
殖	6B96	B4DE
殘	6B98	B4DD
殤	6BA4	BCDC
殮	6BAE	C0D4
殯	6BAF	C26C
殲	6BB2	C4E8
段	6BB5	AC71
殷	6BB7	AEEF
殺	6BBA	B1FE
殼	6BBC	B4DF
殿	6BBF	B7B5
毀	6BC0	B7B4
毅	6BC5	BCDD
毆	6BC6	BCDE
毋	6BCB	A4F0
母	6BCD	A5C0
每	6BCF	A843
毒	6BD2	AC72
毓	6BD3	B7B6
比	6BD4	A4F1
毗	6BD7	AC73
毚	6BDA	C0D5
毛	6BDB	A4F2
毫	6BEB	B240
毬	6BEC	B241
毯	6BEF	B4E0
毽	6BFD	B7B7
氅	6C05	BEFB
氈	6C08	C0D6
氏	6C0F	A4F3
氐	6C10	A5C2
民	6C11	A5C1
氓	6C13	AA5D
氖	6C16	A6BB
氛	6C1B	AA5E
氟	6C1F	AC74
氣	6C23	AEF0
氤	6C24	AEF4
氦	6C26	AEF3
氧	6C27	AEF1
氨	6C28	AEF2
氫	6C2B	B242
氬	6C2C	B4E3
氮	6C2E	B4E1
氯	6C2F	B4E2
氳	6C33	BA72
水	6C34	A4F4
永	6C38	A5C3
氾	6C3E	A5C6
汀	6C40	A5C5
汁	6C41	A5C4
求	6C42	A844
汍	6C4D	A6C5
汎	6C4E	A6C6
汐	6C50	A6C1
汕	6C55	A6C2
汗	6C57	A6BD
汙	6C59	A6BE
汛	6C5B	A6C4
汝	6C5D	A6BC
汞	6C5E	A845
江	6C5F	A6BF
池	6C60	A6C0
污	6C61	A6C3
汨	6C68	A851
汪	6C6A	A84C
汰	6C70	A84F
汲	6C72	A856
汴	6C74	A858
汶	6C76	A85A
決	6C7A	A84D
汽	6C7D	A854
汾	6C7E	A857
沁	6C81	A847
沂	6C82	A85E
沃	6C83	A855
沅	6C85	A84A
沆	6C86	A859
沈	6C88	A848
沉	6C89	A849
沌	6C8C	A850
沍	6C8D	A85B
沐	6C90	A84E
沒	6C92	A853
沔	6C94	A85C
沖	6C96	A852
沘	6C98	A85D
沙	6C99	A846
沛	6C9B	A84B
沫	6CAB	AA6A
沬	6CAC	AA7A
沮	6CAE	AA71
沱	6CB1	AA62
河	6CB3	AA65
沸	6CB8	AA6D
油	6CB9	AA6F
治	6CBB	AA76
沼	6CBC	AA68
沽	6CBD	AA66
沾	6CBE	AA67
沿	6CBF	AA75
況	6CC1	AA70
泄	6CC4	AA6E
泅	6CC5	AA73
泉	6CC9	AC75
泊	6CCA	AA79
泌	6CCC	AA63
泓	6CD3	AA6C
法	6CD5	AA6B
泖	6CD6	AA7D
泗	6CD7	AA72
泛	6CDB	AA78
泜	6CDC	AA7C
泠	6CE0	AA7E
泡	6CE1	AA77
波	6CE2	AA69
泣	6CE3	AA5F
泥	6CE5	AA64
注	6CE8	AA60
泯	6CEF	AA7B
泰	6CF0	AEF5
泱	6CF1	AA74
泳	6CF3	AA61
泵	6CF5	ACA6
洋	6D0B	AC76
洌	6D0C	AC7B
洎	6D0E	ACAD
洗	6D17	AC7E
洛	6D1B	ACA5
洞	6D1E	AC7D
津	6D25	AC7A
洧	6D27	ACA8
洩	6D29	ACAA
洪	6D2A	AC78
洫	6D2B	ACAE
洮	6D2E	ACAB
洱	6D31	AC7C
洲	6D32	AC77
洵	6D35	ACAC
洶	6D36	ACA4
洸	6D38	ACA9
洹	6D39	ACA7
活	6D3B	ACA1
洽	6D3D	ACA2
派	6D3E	ACA3
流	6D41	AC79
浙	6D59	AEFD
浚	6D5A	AF43
浥	6D65	AF4A
浦	6D66	AEFA
浩	6D69	AF45
浪	6D6A	AEF6
浬	6D6C	AF40
浮	6D6E	AF42
浴	6D74	AF44
海	6D77	AEFC
浸	6D78	AEFB
浹	6D79	AF48
涅	6D85	AF49
涇	6D87	AEF9
消	6D88	AEF8
涉	6D89	AF41
涊	6D8A	AF47
涌	6D8C	AF46
涎	6D8E	B243
涓	6D93	AEFE
涔	6D94	AF4B
涕	6D95	AEF7
涪	6DAA	B265
涮	6DAE	B252
涯	6DAF	B250
液	6DB2	B247
涵	6DB5	B25B
涸	6DB8	B255
涼	6DBC	B244
涿	6DBF	B267
淄	6DC4	B264
淅	6DC5	B258
淆	6DC6	B263
淇	6DC7	B24E
淋	6DCB	B24F
淌	6DCC	B249
淑	6DD1	B251
淒	6DD2	B259
淘	6DD8	B25E
淙	6DD9	B246
淚	6DDA	B25C
淞	6DDE	B253
淡	6DE1	B248
淤	6DE4	B24A
淦	6DE6	B268
淨	6DE8	B262
淪	6DEA	B25F
淫	6DEB	B25D
淬	6DEC	B266
淮	6DEE	B261
深	6DF1	B260
淳	6DF3	B245
淵	6DF5	B257
混	6DF7	B256
淹	6DF9	B254
淺	6DFA	B24C
添	6DFB	B24B
清	6E05	B24D
渙	6E19	B541
渚	6E1A	B25A
減	6E1B	B4EE
渝	6E1D	B4FC
渠	6E20	B4EB
渡	6E21	B4E7
渣	6E23	B4ED
渤	6E24	B4F1
渥	6E25	B4EC
渦	6E26	B4F5
測	6E2C	B4FA
渭	6E2D	B4F4
港	6E2F	B4E4
渲	6E32	B4E8
渴	6E34	B4F7
游	6E38	B4E5
渺	6E3A	B4F9
渾	6E3E	B4FD
湃	6E43	B4FB
湄	6E44	B544
湊	6E4A	B4EA
湍	6E4D	B4F8
湎	6E4E	B542
湔	6E54	B4E6
湖	6E56	B4F2
湘	6E58	B4F0
湛	6E5B	B4EF
湟	6E5F	B547
